commune,station,no2_value,date_local,seuil_info_recommandation,seuil_alerte
Donges,LA MEGRETAIS,3.6,2025-05-31,200,400
Frossay,FROSSAY,3.9,2025-05-31,200,400
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,3.1,2025-05-31,200,400
Trignac,JULES VERNE,2.5,2025-05-31,200,400
Cholet,SAINT EXUPERY,5.6,2025-05-31,200,400
Saint-Nazaire,LEON BLUM,3.3,2025-05-31,200,400
Angers,BEAUX ARTS,6.0,2025-05-31,200,400
Laval,MAZAGRAN,4.7,2025-05-31,200,400
La Tardière,LA TARDIERE,1.3,2025-05-31,200,400
Angers,APPENTIS,4.8,2025-05-31,200,400
La Roche-Sur-Yon,DELACROIX,3.4,2025-05-31,200,400
Le Mans,GUEDOU,5.7,2025-05-31,200,400
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,3.6,2025-05-31,200,400
Donges,PARSCAU DU PLESSIS,3.2,2025-05-31,200,400
Saint-Nazaire,PARC PAYSAGER,2.9,2025-05-31,200,400
Le Mans,SOURCES,4.8,2025-05-31,200,400
Nantes,CIM BOUTEILLERIE,4.9,2025-05-31,200,400
Bouguenais,LES COUETS,5.5,2025-05-31,200,400
Angers,ROI RENE,19.0,2025-05-31,200,400
Montoir-De-Bretagne,CAMEE,3.3,2025-05-31,200,400
Nantes,FRERES GONCOURT,16.0,2025-05-31,200,400
Laval,RUE DE LA PAIX,6.4,2025-05-31,200,400
Nantes,PRAIRIE AU DUC,8.1,2025-05-31,200,400
Donges,LA MEGRETAIS,6.0,2025-05-30,200,400
Frossay,FROSSAY,3.7,2025-05-30,200,400
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,2.9,2025-05-30,200,400
Trignac,JULES VERNE,4.7,2025-05-30,200,400
Cholet,SAINT EXUPERY,7.4,2025-05-30,200,400
Saint-Nazaire,LEON BLUM,5.3,2025-05-30,200,400
Angers,BEAUX ARTS,8.1,2025-05-30,200,400
Laval,MAZAGRAN,6.7,2025-05-30,200,400
La Tardière,LA TARDIERE,2.0,2025-05-30,200,400
Angers,APPENTIS,5.6,2025-05-30,200,400
La Roche-Sur-Yon,DELACROIX,6.4,2025-05-30,200,400
Le Mans,GUEDOU,8.1,2025-05-30,200,400
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,3.8,2025-05-30,200,400
Donges,PARSCAU DU PLESSIS,5.0,2025-05-30,200,400
Saint-Nazaire,PARC PAYSAGER,5.0,2025-05-30,200,400
Le Mans,SOURCES,5.8,2025-05-30,200,400
Nantes,CIM BOUTEILLERIE,5.5,2025-05-30,200,400
Bouguenais,LES COUETS,8.4,2025-05-30,200,400
Angers,ROI RENE,28.0,2025-05-30,200,400
Montoir-De-Bretagne,CAMEE,4.9,2025-05-30,200,400
Nantes,FRERES GONCOURT,23.0,2025-05-30,200,400
Laval,RUE DE LA PAIX,15.0,2025-05-30,200,400
Nantes,PRAIRIE AU DUC,7.7,2025-05-30,200,400
Donges,LA MEGRETAIS,3.2,2025-05-29,200,400
Frossay,FROSSAY,1.3,2025-05-29,200,400
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,1.4,2025-05-29,200,400
Trignac,JULES VERNE,1.6,2025-05-29,200,400
Cholet,SAINT EXUPERY,4.7,2025-05-29,200,400
Saint-Nazaire,LEON BLUM,1.8,2025-05-29,200,400
Angers,BEAUX ARTS,5.4,2025-05-29,200,400
Laval,MAZAGRAN,6.8,2025-05-29,200,400
La Tardière,LA TARDIERE,0.52,2025-05-29,200,400
Angers,APPENTIS,4.0,2025-05-29,200,400
La Roche-Sur-Yon,DELACROIX,1.5,2025-05-29,200,400
Le Mans,GUEDOU,6.0,2025-05-29,200,400
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,2.8,2025-05-29,200,400
Donges,PARSCAU DU PLESSIS,3.1,2025-05-29,200,400
Saint-Nazaire,PARC PAYSAGER,1.5,2025-05-29,200,400
Le Mans,SOURCES,3.5,2025-05-29,200,400
Nantes,CIM BOUTEILLERIE,3.2,2025-05-29,200,400
Bouguenais,LES COUETS,3.8,2025-05-29,200,400
Angers,ROI RENE,15.0,2025-05-29,200,400
Montoir-De-Bretagne,CAMEE,2.1,2025-05-29,200,400
Nantes,FRERES GONCOURT,15.0,2025-05-29,200,400
Laval,RUE DE LA PAIX,8.4,2025-05-29,200,400
Nantes,PRAIRIE AU DUC,4.5,2025-05-29,200,400
Donges,LA MEGRETAIS,3.9,2025-05-28,200,400
Frossay,FROSSAY,1.0,2025-05-28,200,400
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,1.3,2025-05-28,200,400
Cholet,SAINT EXUPERY,2.6,2025-05-28,200,400
Saint-Nazaire,LEON BLUM,2.0,2025-05-28,200,400
Angers,BEAUX ARTS,4.8,2025-05-28,200,400
Laval,MAZAGRAN,3.5,2025-05-28,200,400
La Tardière,LA TARDIERE,1.2,2025-05-28,200,400
Angers,APPENTIS,3.0,2025-05-28,200,400
La Roche-Sur-Yon,DELACROIX,2.3,2025-05-28,200,400
Le Mans,GUEDOU,4.7,2025-05-28,200,400
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,2.3,2025-05-28,200,400
Donges,PARSCAU DU PLESSIS,3.6,2025-05-28,200,400
Saint-Nazaire,PARC PAYSAGER,1.4,2025-05-28,200,400
Le Mans,SOURCES,4.0,2025-05-28,200,400
Nantes,CIM BOUTEILLERIE,3.2,2025-05-28,200,400
Bouguenais,LES COUETS,3.2,2025-05-28,200,400
Angers,ROI RENE,14.0,2025-05-28,200,400
Montoir-De-Bretagne,CAMEE,1.8,2025-05-28,200,400
Nantes,FRERES GONCOURT,15.0,2025-05-28,200,400
Laval,RUE DE LA PAIX,9.1,2025-05-28,200,400
Nantes,PRAIRIE AU DUC,4.7,2025-05-28,200,400
Donges,LA MEGRETAIS,6.1,2025-05-27,200,400
Frossay,FROSSAY,1.1,2025-05-27,200,400
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,1.9,2025-05-27,200,400
Trignac,JULES VERNE,2.3,2025-05-27,200,400
Cholet,SAINT EXUPERY,3.2,2025-05-27,200,400
Saint-Nazaire,LEON BLUM,1.6,2025-05-27,200,400
Angers,BEAUX ARTS,4.8,2025-05-27,200,400
Laval,MAZAGRAN,2.9,2025-05-27,200,400
La Tardière,LA TARDIERE,1.3,2025-05-27,200,400
Angers,APPENTIS,4.6,2025-05-27,200,400
La Roche-Sur-Yon,DELACROIX,3.1,2025-05-27,200,400
Le Mans,GUEDOU,5.2,2025-05-27,200,400
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,1.9,2025-05-27,200,400
Donges,PARSCAU DU PLESSIS,3.1,2025-05-27,200,400
Saint-Nazaire,PARC PAYSAGER,1.4,2025-05-27,200,400
Le Mans,SOURCES,4.6,2025-05-27,200,400
Nantes,CIM BOUTEILLERIE,4.4,2025-05-27,200,400
Bouguenais,LES COUETS,5.7,2025-05-27,200,400
Angers,ROI RENE,7.1,2025-05-27,200,400
Montoir-De-Bretagne,CAMEE,1.8,2025-05-27,200,400
Nantes,FRERES GONCOURT,24.0,2025-05-27,200,400
Laval,RUE DE LA PAIX,7.1,2025-05-27,200,400
Nantes,PRAIRIE AU DUC,5.3,2025-05-27,200,400
Donges,LA MEGRETAIS,5.3,2025-05-26,200,400
Frossay,FROSSAY,2.7,2025-05-26,200,400
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,2.1,2025-05-26,200,400
Trignac,JULES VERNE,4.6,2025-05-26,200,400
Cholet,SAINT EXUPERY,4.8,2025-05-26,200,400
Saint-Nazaire,LEON BLUM,2.9,2025-05-26,200,400
Angers,BEAUX ARTS,5.6,2025-05-26,200,400
Laval,MAZAGRAN,4.3,2025-05-26,200,400
La Tardière,LA TARDIERE,1.3,2025-05-26,200,400
Angers,APPENTIS,3.4,2025-05-26,200,400
La Roche-Sur-Yon,DELACROIX,3.7,2025-05-26,200,400
Le Mans,GUEDOU,7.4,2025-05-26,200,400
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,3.1,2025-05-26,200,400
Donges,PARSCAU DU PLESSIS,4.7,2025-05-26,200,400
Saint-Nazaire,PARC PAYSAGER,2.7,2025-05-26,200,400
Le Mans,SOURCES,4.6,2025-05-26,200,400
Nantes,CIM BOUTEILLERIE,5.1,2025-05-26,200,400
Bouguenais,LES COUETS,8.2,2025-05-26,200,400
Angers,ROI RENE,14.0,2025-05-26,200,400
Montoir-De-Bretagne,CAMEE,4.0,2025-05-26,200,400
Nantes,FRERES GONCOURT,20.0,2025-05-26,200,400
Laval,RUE DE LA PAIX,11.0,2025-05-26,200,400
Nantes,PRAIRIE AU DUC,7.6,2025-05-26,200,400
Donges,LA MEGRETAIS,3.3,2025-05-25,200,400
Frossay,FROSSAY,1.3,2025-05-25,200,400
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,1.1,2025-05-25,200,400
Trignac,JULES VERNE,1.1,2025-05-25,200,400
Cholet,SAINT EXUPERY,1.9,2025-05-25,200,400
Saint-Nazaire,LEON BLUM,1.3,2025-05-25,200,400
Angers,BEAUX ARTS,2.7,2025-05-25,200,400
Laval,MAZAGRAN,2.7,2025-05-25,200,400
La Tardière,LA TARDIERE,0.54,2025-05-25,200,400
Angers,APPENTIS,2.4,2025-05-25,200,400
La Roche-Sur-Yon,DELACROIX,1.2,2025-05-25,200,400
Le Mans,GUEDOU,2.7,2025-05-25,200,400
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,1.9,2025-05-25,200,400
Donges,PARSCAU DU PLESSIS,1.7,2025-05-25,200,400
Saint-Nazaire,PARC PAYSAGER,1.6,2025-05-25,200,400
Le Mans,SOURCES,2.5,2025-05-25,200,400
Nantes,CIM BOUTEILLERIE,2.4,2025-05-25,200,400
Bouguenais,LES COUETS,2.3,2025-05-25,200,400
Angers,ROI RENE,8.7,2025-05-25,200,400
Montoir-De-Bretagne,CAMEE,1.6,2025-05-25,200,400
Nantes,FRERES GONCOURT,10.0,2025-05-25,200,400
Laval,RUE DE LA PAIX,2.2,2025-05-25,200,400
Nantes,PRAIRIE AU DUC,2.8,2025-05-25,200,400
Donges,LA MEGRETAIS,7.2,2025-05-24,200,400
Frossay,FROSSAY,3.3,2025-05-24,200,400
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,2.1,2025-05-24,200,400
Trignac,JULES VERNE,5.2,2025-05-24,200,400
Cholet,SAINT EXUPERY,4.4,2025-05-24,200,400
Saint-Nazaire,LEON BLUM,3.5,2025-05-24,200,400
Angers,BEAUX ARTS,5.6,2025-05-24,200,400
Laval,MAZAGRAN,5.7,2025-05-24,200,400
La Tardière,LA TARDIERE,1.6,2025-05-24,200,400
Angers,APPENTIS,3.5,2025-05-24,200,400
La Roche-Sur-Yon,DELACROIX,3.1,2025-05-24,200,400
Le Mans,GUEDOU,7.3,2025-05-24,200,400
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,2.8,2025-05-24,200,400
Donges,PARSCAU DU PLESSIS,5.6,2025-05-24,200,400
Saint-Nazaire,PARC PAYSAGER,2.9,2025-05-24,200,400
Le Mans,SOURCES,5.9,2025-05-24,200,400
Nantes,CIM BOUTEILLERIE,4.1,2025-05-24,200,400
Bouguenais,LES COUETS,6.3,2025-05-24,200,400
Angers,ROI RENE,17.0,2025-05-24,200,400
Montoir-De-Bretagne,CAMEE,3.5,2025-05-24,200,400
Nantes,FRERES GONCOURT,20.0,2025-05-24,200,400
Laval,RUE DE LA PAIX,10.0,2025-05-24,200,400
Nantes,PRAIRIE AU DUC,5.7,2025-05-24,200,400
Donges,LA MEGRETAIS,5.8,2025-05-23,200,400
Frossay,FROSSAY,4.0,2025-05-23,200,400
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,3.1,2025-05-23,200,400
Trignac,JULES VERNE,5.7,2025-05-23,200,400
Cholet,SAINT EXUPERY,7.6,2025-05-23,200,400
Saint-Nazaire,LEON BLUM,5.4,2025-05-23,200,400
Angers,BEAUX ARTS,5.5,2025-05-23,200,400
Laval,MAZAGRAN,6.7,2025-05-23,200,400
La Tardière,LA TARDIERE,1.7,2025-05-23,200,400
Angers,APPENTIS,6.4,2025-05-23,200,400
La Roche-Sur-Yon,DELACROIX,4.8,2025-05-23,200,400
Le Mans,GUEDOU,9.6,2025-05-23,200,400
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,3.8,2025-05-23,200,400
Donges,PARSCAU DU PLESSIS,5.4,2025-05-23,200,400
Saint-Nazaire,PARC PAYSAGER,4.3,2025-05-23,200,400
Le Mans,SOURCES,8.0,2025-05-23,200,400
Nantes,CIM BOUTEILLERIE,5.7,2025-05-23,200,400
Bouguenais,LES COUETS,11.0,2025-05-23,200,400
Angers,ROI RENE,21.0,2025-05-23,200,400
Montoir-De-Bretagne,CAMEE,5.2,2025-05-23,200,400
Nantes,FRERES GONCOURT,13.0,2025-05-23,200,400
Laval,RUE DE LA PAIX,14.0,2025-05-23,200,400
Nantes,PRAIRIE AU DUC,7.9,2025-05-23,200,400
Donges,LA MEGRETAIS,5.0,2025-05-22,200,400
Frossay,FROSSAY,4.6,2025-05-22,200,400
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,3.6,2025-05-22,200,400
Trignac,JULES VERNE,5.5,2025-05-22,200,400
Cholet,SAINT EXUPERY,6.0,2025-05-22,200,400
Saint-Nazaire,LEON BLUM,5.1,2025-05-22,200,400
Angers,BEAUX ARTS,6.0,2025-05-22,200,400
Laval,MAZAGRAN,6.9,2025-05-22,200,400
La Tardière,LA TARDIERE,1.9,2025-05-22,200,400
Angers,APPENTIS,5.9,2025-05-22,200,400
La Roche-Sur-Yon,DELACROIX,3.4,2025-05-22,200,400
Le Mans,GUEDOU,9.3,2025-05-22,200,400
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,3.4,2025-05-22,200,400
Donges,PARSCAU DU PLESSIS,5.1,2025-05-22,200,400
Saint-Nazaire,PARC PAYSAGER,4.5,2025-05-22,200,400
Le Mans,SOURCES,8.5,2025-05-22,200,400
Nantes,CIM BOUTEILLERIE,5.1,2025-05-22,200,400
Bouguenais,LES COUETS,10.0,2025-05-22,200,400
Angers,ROI RENE,23.0,2025-05-22,200,400
Montoir-De-Bretagne,CAMEE,5.0,2025-05-22,200,400
Nantes,FRERES GONCOURT,11.0,2025-05-22,200,400
Laval,RUE DE LA PAIX,11.0,2025-05-22,200,400
Nantes,PRAIRIE AU DUC,8.9,2025-05-22,200,400
Donges,LA MEGRETAIS,6.2,2025-05-21,200,400
Frossay,FROSSAY,3.4,2025-05-21,200,400
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,3.5,2025-05-21,200,400
Trignac,JULES VERNE,5.4,2025-05-21,200,400
Cholet,SAINT EXUPERY,4.7,2025-05-21,200,400
Saint-Nazaire,LEON BLUM,5.0,2025-05-21,200,400
Angers,BEAUX ARTS,6.5,2025-05-21,200,400
Laval,MAZAGRAN,9.0,2025-05-21,200,400
La Tardière,LA TARDIERE,2.2,2025-05-21,200,400
Angers,APPENTIS,6.0,2025-05-21,200,400
La Roche-Sur-Yon,DELACROIX,4.9,2025-05-21,200,400
Le Mans,GUEDOU,8.5,2025-05-21,200,400
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,4.1,2025-05-21,200,400
Donges,PARSCAU DU PLESSIS,6.2,2025-05-21,200,400
Saint-Nazaire,PARC PAYSAGER,4.0,2025-05-21,200,400
Le Mans,SOURCES,8.2,2025-05-21,200,400
Nantes,CIM BOUTEILLERIE,6.0,2025-05-21,200,400
Bouguenais,LES COUETS,7.1,2025-05-21,200,400
Angers,ROI RENE,19.0,2025-05-21,200,400
Montoir-De-Bretagne,CAMEE,4.6,2025-05-21,200,400
Nantes,FRERES GONCOURT,17.0,2025-05-21,200,400
Laval,RUE DE LA PAIX,15.0,2025-05-21,200,400
Nantes,PRAIRIE AU DUC,7.7,2025-05-21,200,400
Donges,LA MEGRETAIS,6.4,2025-05-20,200,400
Frossay,FROSSAY,3.2,2025-05-20,200,400
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,3.0,2025-05-20,200,400
Trignac,JULES VERNE,5.5,2025-05-20,200,400
Cholet,SAINT EXUPERY,4.8,2025-05-20,200,400
Saint-Nazaire,LEON BLUM,5.6,2025-05-20,200,400
Angers,BEAUX ARTS,7.2,2025-05-20,200,400
Laval,MAZAGRAN,8.8,2025-05-20,200,400
La Tardière,LA TARDIERE,2.0,2025-05-20,200,400
Angers,APPENTIS,6.0,2025-05-20,200,400
La Roche-Sur-Yon,DELACROIX,4.0,2025-05-20,200,400
Le Mans,GUEDOU,7.7,2025-05-20,200,400
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,4.3,2025-05-20,200,400
Donges,PARSCAU DU PLESSIS,5.2,2025-05-20,200,400
Saint-Nazaire,PARC PAYSAGER,4.3,2025-05-20,200,400
Le Mans,SOURCES,6.7,2025-05-20,200,400
Nantes,CIM BOUTEILLERIE,4.8,2025-05-20,200,400
Bouguenais,LES COUETS,7.2,2025-05-20,200,400
Montoir-De-Bretagne,CAMEE,4.7,2025-05-20,200,400
Nantes,FRERES GONCOURT,16.0,2025-05-20,200,400
Laval,RUE DE LA PAIX,16.0,2025-05-20,200,400
Nantes,PRAIRIE AU DUC,6.8,2025-05-20,200,400
Donges,LA MEGRETAIS,3.9,2025-05-19,200,400
Frossay,FROSSAY,3.2,2025-05-19,200,400
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,3.5,2025-05-19,200,400
Trignac,JULES VERNE,6.5,2025-05-19,200,400
Cholet,SAINT EXUPERY,5.8,2025-05-19,200,400
Saint-Nazaire,LEON BLUM,7.2,2025-05-19,200,400
Angers,BEAUX ARTS,5.6,2025-05-19,200,400
Laval,MAZAGRAN,5.8,2025-05-19,200,400
La Tardière,LA TARDIERE,2.9,2025-05-19,200,400
Angers,APPENTIS,5.5,2025-05-19,200,400
