commune,station,pm10_value,date_local,seuil_info_recommandation,seuil_alerte
Donges,LA MEGRETAIS,10.0,2025-05-31,50,80
Frossay,FROSSAY,10.0,2025-05-31,50,80
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,9.6,2025-05-31,50,80
Cholet,SAINT EXUPERY,13.0,2025-05-31,50,80
Saint-Nazaire,LEON BLUM,9.3,2025-05-31,50,80
Angers,BEAUX ARTS,12.0,2025-05-31,50,80
Laval,MAZAGRAN,11.0,2025-05-31,50,80
La Tardière,LA TARDIERE,12.0,2025-05-31,50,80
La Roche-Sur-Yon,DELACROIX,9.9,2025-05-31,50,80
Le Mans,GUEDOU,11.0,2025-05-31,50,80
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,12.0,2025-05-31,50,80
Donges,PARSCAU DU PLESSIS,9.4,2025-05-31,50,80
Le Mans,SOURCES,11.0,2025-05-31,50,80
Nantes,CIM BOUTEILLERIE,9.9,2025-05-31,50,80
Rezé,TRENTEMOULT,19.0,2025-05-31,50,80
Bouguenais,LES COUETS,10.0,2025-05-31,50,80
Angers,ROI RENE,15.0,2025-05-31,50,80
Montoir-De-Bretagne,CAMEE,8.8,2025-05-31,50,80
Nantes,PRAIRIE AU DUC,11.0,2025-05-31,50,80
Donges,LA MEGRETAIS,7.6,2025-05-30,50,80
Frossay,FROSSAY,7.5,2025-05-30,50,80
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,7.0,2025-05-30,50,80
Cholet,SAINT EXUPERY,8.4,2025-05-30,50,80
Saint-Nazaire,LEON BLUM,7.4,2025-05-30,50,80
Angers,BEAUX ARTS,10.0,2025-05-30,50,80
Laval,MAZAGRAN,11.0,2025-05-30,50,80
La Tardière,LA TARDIERE,9.9,2025-05-30,50,80
La Roche-Sur-Yon,DELACROIX,9.4,2025-05-30,50,80
Le Mans,GUEDOU,10.0,2025-05-30,50,80
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,13.0,2025-05-30,50,80
Donges,PARSCAU DU PLESSIS,7.4,2025-05-30,50,80
Le Mans,SOURCES,9.6,2025-05-30,50,80
Nantes,CIM BOUTEILLERIE,7.8,2025-05-30,50,80
Rezé,TRENTEMOULT,13.0,2025-05-30,50,80
Bouguenais,LES COUETS,8.5,2025-05-30,50,80
Angers,ROI RENE,16.0,2025-05-30,50,80
Montoir-De-Bretagne,CAMEE,7.9,2025-05-30,50,80
Nantes,PRAIRIE AU DUC,9.8,2025-05-30,50,80
Donges,LA MEGRETAIS,2.7,2025-05-29,50,80
Frossay,FROSSAY,3.0,2025-05-29,50,80
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,3.3,2025-05-29,50,80
Cholet,SAINT EXUPERY,6.4,2025-05-29,50,80
Saint-Nazaire,LEON BLUM,2.6,2025-05-29,50,80
Angers,BEAUX ARTS,6.5,2025-05-29,50,80
Laval,MAZAGRAN,7.2,2025-05-29,50,80
La Tardière,LA TARDIERE,4.1,2025-05-29,50,80
La Roche-Sur-Yon,DELACROIX,3.7,2025-05-29,50,80
Le Mans,GUEDOU,8.1,2025-05-29,50,80
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,6.8,2025-05-29,50,80
Donges,PARSCAU DU PLESSIS,3.0,2025-05-29,50,80
Le Mans,SOURCES,7.5,2025-05-29,50,80
Nantes,CIM BOUTEILLERIE,3.6,2025-05-29,50,80
Rezé,TRENTEMOULT,7.8,2025-05-29,50,80
Bouguenais,LES COUETS,3.9,2025-05-29,50,80
Angers,ROI RENE,10.0,2025-05-29,50,80
Montoir-De-Bretagne,CAMEE,2.3,2025-05-29,50,80
Nantes,PRAIRIE AU DUC,4.3,2025-05-29,50,80
Donges,LA MEGRETAIS,7.7,2025-05-28,50,80
Frossay,FROSSAY,7.6,2025-05-28,50,80
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,7.1,2025-05-28,50,80
Cholet,SAINT EXUPERY,8.5,2025-05-28,50,80
Saint-Nazaire,LEON BLUM,8.4,2025-05-28,50,80
Angers,BEAUX ARTS,9.5,2025-05-28,50,80
Laval,MAZAGRAN,8.5,2025-05-28,50,80
