commune,etat,activite_principale,soussection,section,date_creation,date_fermeture
LAMNAY,Actif,47.11B,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2019-07-10,
SAINT-GILLES-CROIX-DE-VIE,Actif,68.20B,Activités immobilières,Activités immobilières,2009-10-01,
NANTES,Actif,71.11Z,Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques,"Activités spécialisées, scientifiques et techniques",2017-03-27,
NANTES,Fermé,90.03A,"Activités créatives, artistiques et de spectacle","Arts, spectacles et activités récréatives",2017-06-09,2019-07-01
LA ROCHE-SUR-YON,Fermé,43.39Z,Travaux de construction spécialisés,Construction,2009-05-15,2010-12-31
LAVAL,Fermé,70.1F,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",2006-01-07,2007-08-01
LUCON,Actif,68.20B,Activités immobilières,Activités immobilières,2005-04-11,
SAINT-LYPHARD,Actif,47.99A,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2009-10-02,
ANGERS,Actif,47.81Z,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2010-02-25,
LOIRE-AUTHION,Actif,01.24Z,"Culture et production animale, chasse et services annexes","Agriculture, sylviculture et pêche",1998-02-01,
NANTES,Fermé,52.6D,Commerce ; réparations automobile et d'articles domestiques,Commerce ; réparations automobile et d'articles domestiques,2002-06-26,2004-09-30
NANTES,Actif,96.09Z,Autres services personnels,Autres activités de services,2024-04-03,
ROUANS,Actif,47.91B,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2016-09-01,
LE CROISIC,Actif,68.20B,Activités immobilières,Activités immobilières,2023-02-03,
ANGERS,Actif,56.10A,Restauration,Hébergement et restauration,2019-08-28,
COULAINES,Actif,60.10Z,Programmation et diffusion,Information et communication,2023-01-18,
MAUGES-SUR-LOIRE,Actif,49.41A,Transports terrestres et transport par conduites,Transports et entreposage,2004-05-20,
